品种代码,品种名称,纳入日期
605500,森林包装,2021-12-22
605186,健麾信息,2021-12-22
688668,鼎通科技,2021-12-21
688699,明微电子,2021-12-20
688608,恒玄科技,2021-12-16
688510,航亚科技,2021-12-16
605151,西上海,2021-12-15
605299,舒华体育,2021-12-15
688136,科兴制药,2021-12-14
688571,杭华股份,2021-12-13
688308,欧科亿,2021-12-10
605376,博迁新材,2021-12-08
688590,新致软件,2021-12-07
605183,确成股份,2021-12-07
601686,友发集团,2021-12-06
605258,协和电子,2021-12-03
688557,兰剑智能,2021-12-02
688578,艾力斯,2021-12-02
605266,健之佳,2021-12-01
605177,东亚药业,2021-11-25
688777,中控技术,2021-11-24
605068,明新旭腾,2021-11-23
688219,会通股份,2021-11-18
688160,步科股份,2021-11-12
688057,金达莱,2021-11-11
688135,利扬芯片,2021-11-11
605007,五洲特纸,2021-11-10
688529,豪森股份,2021-11-09
601995,中金公司,2021-11-02
605169,洪通燃气,2021-11-01
688133,泰坦科技,2021-11-01
689009,九号公司,2021-10-29
688221,前沿生物,2021-10-28
601187,厦门银行,2021-10-27
688179,阿拉丁,2021-10-26
688129,东来技术,2021-10-25
688788,科思科技,2021-10-22
605058,澳弘电子,2021-10-21
601568,北元集团,2021-10-20
605336,帅丰电器,2021-10-19
688386,泛亚微透,2021-10-18
688330,宏力达,2021-10-15
605338,巴比食品,2021-10-12
688093,世华科技,2021-09-30
605099,共创草坪,2021-09-30
605018,长华股份,2021-09-29
605136,丽人丽妆,2021-09-29
601868,中国能建,2021-09-28
688013,天臣医疗,2021-09-28
688585,上纬新材,2021-09-28
688595,芯海科技,2021-09-28
605111,新洁能,2021-09-28
605218,伟时电子,2021-09-28
603565,中谷物流,2021-09-27
605050,福然德,2021-09-24
605116,奥锐特,2021-09-22
688127,蓝特光学,2021-09-22
688156,路德环境,2021-09-22
605198,德利股份,2021-09-22
688301,奕瑞科技,2021-09-22
688526,科前生物,2021-09-22
688536,思瑞浦,2021-09-22
603112,华翔股份,2021-09-17
605369,拱东医疗,2021-09-16
688577,浙海德曼,2021-09-16
605128,上海沿浦,2021-09-15
605358,立昂微,2021-09-13
603779,威龙股份,2021-09-13
605358,立昂微,2021-09-13
688551,科威尔,2021-09-10
688559,海目星,2021-09-09
605003,众望布艺,2021-09-08
688095,福昕软件,2021-09-08
601702,华峰铝业,2021-09-07
688390,固德威,2021-09-06
605006,山东玻纤,2021-09-03
688378,奥来德,2021-09-03
688056,莱伯泰科,2021-09-02
688513,苑东生物,2021-09-02
688550,瑞联新材,2021-09-02
603155,新亚强,2021-09-01
688569,铁科轨道,2021-08-31
688017,绿的谐波,2021-08-30
688215,瑞晟智能,2021-08-30
688289,圣湘生物,2021-08-30
688408,中信博,2021-08-30
688356,键凯科技,2021-08-26
605255,天普股份,2021-08-25
605123,派克新材,2021-08-25
605008,长鸿高科,2021-08-23
605178,时空科技,2021-08-23
688393,安必平,2021-08-20
688596,正帆科技,2021-08-20
603931,格林达,2021-08-19
688379,华光新材,2021-08-19
605333,沪光股份,2021-08-18
605388,均瑶健康,2021-08-18
688519,南亚新材,2021-08-18
688521,芯原股份,2021-08-18
605088,冠盛股份,2021-08-17
688055,龙腾光电,2021-08-17
688229,博睿数据,2021-08-17
688335,复洁环保,2021-08-17
688185,康希诺,2021-08-13
605366,宏柏新材,2021-08-12
688065,凯赛生物,2021-08-12
688313,仕佳光子,2021-08-12
605100,华丰股份,2021-08-11
688155,先惠技术,2021-08-11
688339,亿华通,2021-08-10
688286,敏芯股份,2021-08-10
605066,天正电气,2021-08-09
688556,高测股份,2021-08-09
688338,赛科希德,2021-08-06
605158,华达新材,2021-08-05
605399,晨光新材,2021-08-04
605318,法狮龙,2021-08-03
605222,起帆电缆,2021-08-02
688311,盟升电子,2021-08-02
601456,国联证券,2021-08-02
688586,江航装备,2021-08-02
603408,建霖家居,2021-07-30
605118,力鼎光电,2021-07-30
688050,爱博医疗,2021-07-29
605188,国光连锁,2021-07-28
688069,德林海,2021-07-22
688077,大地熊,2021-07-22
688336,三生国健,2021-07-22
688418,震有科技,2021-07-22
688508,芯朋微,2021-07-22
688561,奇安信,2021-07-22
688589,力合微,2021-07-22
688580,伟思医疗,2021-07-21
688256,寒武纪,2021-07-20
688488,艾迪药业,2021-07-20
688567,孚能科技,2021-07-19
688579,山大地纬,2021-07-19
605108,同庆楼,2021-07-16
688981,中芯国际,2021-07-16
688165,埃夫特,2021-07-15
688180,君实生物,2021-07-15
688060,云涌科技,2021-07-12
900946,天雁B股,2021-07-12
600698,湖南天雁,2021-07-12
600725,云维股份,2021-07-12
688027,国盾量子,2021-07-09
688377,迪威尔,2021-07-08
688568,中科星图,2021-07-08
688277,天智航,2021-07-07
688600,皖仪科技,2021-07-05
688528,秦川物联,2021-07-01
688558,国盛智科,2021-06-30
688520,神州细胞,2021-06-22
688518,联赢激光,2021-06-22
688505,复旦张江,2021-06-21
688106,金宏气体,2021-06-16
600539,狮头股份,2021-06-15
688004,博汇科技,2021-06-15
600215,长春经开,2021-06-15
603188,亚邦股份,2021-06-15
900906,中毅达B,2021-06-15
600821,津劝业,2021-06-15
601399,国机重装,2021-06-15
600354,敦煌种业,2021-06-15
600179,安通控股,2021-06-15
600877,电能股份,2021-06-15
600280,中央商场,2021-06-15
600610,中毅达,2021-06-15
600702,舍得酒业,2021-06-15
600080,金花股份,2021-06-15
600119,长江投资,2021-06-15
600423,柳化股份,2021-06-15
688599,天合光能,2021-06-10
688157,松井股份,2021-06-09
688312,燕麦科技,2021-06-08
688360,德马科技,2021-06-02
688516,奥特维,2021-05-21
688566,吉贝尔,2021-05-18
688598,金博股份,2021-05-18
600815,厦工股份,2021-05-17
600860,京城股份,2021-05-17
600157,永泰能源,2021-05-17
600149,廊坊发展,2021-05-17
600399,抚顺特钢,2021-05-17
600470,六国化工,2021-05-17
600817,宏盛科技,2021-05-17
600651,飞乐音响,2021-05-17
600651,飞乐音响,2021-05-17
601777,力帆科技,2021-05-17
688588,凌志软件,2021-05-11
688466,金科环境,2021-05-10
688365,光云科技,2021-04-29
688318,财富趋势,2021-04-27
688126,沪硅产业,2021-04-20
688222,成都先导,2021-04-16
600212,江泉实业,2021-04-12
600255,鑫科材料,2021-04-12
688085,三友医疗,2021-04-09
688096,京源环保,2021-04-09
688228,开普云,2021-03-29
688189,南新制药,2021-03-26
688051,佳华科技,2021-03-22
688396,华润微,2021-03-01
688177,百奥泰,2021-02-22
688233,神工股份,2021-02-22
688169,石头科技,2021-02-22
688208,道通科技,2021-02-18
688090,瑞松科技,2021-02-18
688398,赛特新材,2021-02-18
688186,广大特材,2021-02-18
688080,映翰通,2021-02-18
688200,华峰测控,2021-02-18
688298,东方生物,2021-02-05
688159,有方科技,2021-01-25
688266,泽�Z制药,2021-01-25
688026,洁特生物,2021-01-22
688100,威胜信息,2021-01-21
688158,优刻得,2021-01-20
688278,特宝生物,2021-01-18
688178,万德斯,2021-01-14
688181,八亿时空,2021-01-06
688081,兴图新科,2021-01-06
688078,龙软科技,2020-12-30
688268,华特气体,2020-12-28
688123,聚辰股份,2020-12-23
688089,嘉必优,2020-12-21
688037,芯源微,2020-12-16
688039,当虹科技,2020-12-11
688218,江苏北人,2020-12-11
688198,佰仁医疗,2020-12-09
688258,卓易信息,2020-12-09
688399,硕世生物,2020-12-07
688357,建龙微纳,2020-12-04
688118,普元信息,2020-12-04
688310,迈得医疗,2020-12-03
688358,祥生医疗,2020-12-03
688196,卓越新能,2020-11-23
688138,清溢光电,2020-11-20
688111,金山办公,2020-11-18
688300,联瑞新材,2020-11-16
688101,三达膜,2020-11-16
688166,博瑞医药,2020-11-09
688288,鸿泉物联,2020-11-06
688021,奥福环保,2020-11-06
688363,华熙生物,2020-11-06
688299,长阳科技,2020-11-06
688023,安恒信息,2020-11-05
688128,中国电研,2020-11-05
688389,普门科技,2020-11-05
688199,久日新材,2020-11-05
688202,美迪西,2020-11-05
688369,致远互联,2020-11-02
688025,杰普特,2020-11-02
688058,宝兰德,2020-11-02
688108,赛诺医疗,2020-10-30
688366,昊海生科,2020-10-30
688098,申联生物,2020-10-28
688139,海尔生物,2020-10-26
688368,晶丰明源,2020-10-14
688068,热景生物,2020-09-30
688030,山石网科,2020-09-30
688036,传音控股,2020-09-30
688116,天奈科技,2020-09-25
688168,安博通,2020-09-07
